EAN,Article Libellé Long,PAHT,PVC,PV Mag,TVA en %,Quantité vendue *,Stock en quantité,File_Index,Date,Month,Year,Year_Month,Buying Cost without Taxes,Buying Cost with Taxes,Revenue,Profit
8013108699504,200G PATE A TARTINER 25%,4.309999942779541,4.989999771118164,4.989999771118164,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920021043,200G DESSERT NR 70% INTEN,2.5,3.25,3.25,0.054999999701976776,0.0,17,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920026666,DESSERT NR EXTRA FONDANT,1.9199999570846558,2.190000057220459,2.190000057220459,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920026826,A CUISINER 70% CACAO 180G,1.7899999618530273,2.5799999237060547,2.5799999237060547,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920021463,200GX2 DESSERT NR 70% INT,4.789999961853027,5.690000057220459,5.690000057220459,0.054999999701976776,0.0,24,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920013918,3X100G M.CHOCOLATIER NR,3.6600000858306885,3.5899999141693115,3.5899999141693115,0.054999999701976776,10.0,14,0,2024-01-06,1,2024,2024_01,36.6,38.61,35.9,-2.710000000000001
3046920010047,LINDT EXCELLENCE NOIR 78%,1.7100000381469727,2.0899999141693115,2.0899999141693115,0.054999999701976776,5.0,183,0,2024-01-06,1,2024,2024_01,8.55,9.02,10.45,1.4299999999999997
3046920010603,EXCELL.NOIR FRAMBOIS.100G,1.909999966621399,1.850000023841858,1.850000023841858,0.054999999701976776,2.0,21,0,2024-01-06,1,2024,2024_01,3.82,4.03,3.7,-0.33000000000000007
3046920013789,100G EXCELLENCE DENTELLE,2.109999895095825,2.0899999141693115,2.0899999141693115,0.054999999701976776,3.0,10,0,2024-01-06,1,2024,2024_01,6.33,6.68,6.27,-0.41000000000000014
3046920014281,100G EXCELLENCE GAUFRETTE,2.109999895095825,2.1500000953674316,2.1500000953674316,0.054999999701976776,1.0,2,0,2024-01-06,1,2024,2024_01,2.11,2.23,2.15,-0.08000000000000007
3046920014359,100G EXCELLENCE NR CACAO,2.0,2.190000057220459,2.190000057220459,0.054999999701976776,0.0,12,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920016384,EXC NR70% ED LIMITEE 100G,1.4600000381469727,1.399999976158142,1.9900000095367432,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920017503,LINDT EXCEL.NR SESAM.100G,1.7100000381469727,1.9900000095367432,1.9900000095367432,0.054999999701976776,6.0,22,0,2024-01-06,1,2024,2024_01,10.26,10.82,11.94,1.1199999999999992
3046920017527,LINDT EXCELL.NR PIST.100G,1.5,1.9900000095367432,1.9900000095367432,0.054999999701976776,0.0,0,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920017541,LINDT EXC NR CITR.V.100G,1.909999966621399,1.850000023841858,1.850000023841858,0.054999999701976776,2.0,28,0,2024-01-06,1,2024,2024_01,3.82,4.03,3.7,-0.33000000000000007
3046920017688,EXC NOIR AMANDES EFF SEL,1.7100000381469727,2.390000104904175,2.390000104904175,0.054999999701976776,2.0,8,0,2024-01-06,1,2024,2024_01,3.42,3.61,4.78,1.1700000000000004
3046920020992,100G EXC NR SEL ROSE 70%,1.899999976158142,2.390000104904175,2.390000104904175,0.054999999701976776,1.0,29,0,2024-01-06,1,2024,2024_01,1.9,2.0,2.39,0.3900000000000001
3046920021494,100G EXC NR NOISETTE CARA,1.7100000381469727,2.2899999618530273,2.2899999618530273,0.054999999701976776,4.0,18,0,2024-01-06,1,2024,2024_01,6.84,7.22,9.16,1.9400000000000004
3046920021647,100G EXCELLENCE 3 GRAINES,2.0,1.9900000095367432,1.9900000095367432,0.054999999701976776,0.0,10,0,2024-01-06,1,2024,2024_01,0.0,0.0,0.0,0.0
3046920022507,EXC NOIR-CARAMEL SEL 100G,1.899999976158142,1.7899999618530273,1.7899999618530273,0.054999999701976776,8.0,56,0,2024-01-06,1,2024,2024_01,15.2,16.04,14.32,-1.7199999999999989
3046920022606,EXCELLENCE NOIR 85% 100G,1.899999976158142,1.7899999618530273,1.7899999618530273,0.054999999701976776,19.0,19,0,2024-01-06,1,2024,2024_01,36.1,38.09,34.01,-4.080000000000005
3046920022651,EXCELLENCE NOIR 70% 100G,1.899999976158142,1.7899999618530273,1.7899999618530273,0.054999999701976776,16.0,15,0,2024-01-06,1,2024,2024_01,30.4,32.07,28.64,-3.4299999999999997
